,date,open,high,low,Close
13382,1621275600000.0,0.64989,0.65517,0.64742,0.65425
13383,1621275900000.0,0.654,0.656,0.65111,0.65201
13384,1621276200000.0,0.65237,0.657,0.64921,0.65556
13385,1621276500000.0,0.65544,0.66213,0.655,0.66142
13386,1621276800000.0,0.66146,0.66478,0.66002,0.66337
13387,1621277100000.0,0.66383,0.66577,0.66205,0.66538
13388,1621277400000.0,0.6654,0.66726,0.66312,0.66385
13389,1621277700000.0,0.66356,0.66608,0.66157,0.6634
13390,1621278000000.0,0.66339,0.66905,0.66339,0.66847
13391,1621278300000.0,0.6681,0.66984,0.66693,0.66879
13392,1621278600000.0,0.66897,0.67115,0.66661,0.67015
13393,1621278900000.0,0.66987,0.67115,0.66804,0.67083
13394,1621279200000.0,0.67067,0.67399,0.66903,0.67395
13395,1621279500000.0,0.67346,0.67394,0.67103,0.67288
13396,1621279800000.0,0.673,0.67378,0.6679,0.66855
13397,1621280100000.0,0.66831,0.6717,0.66531,0.6705
13398,1621280400000.0,0.67062,0.67138,0.66882,0.66923
13399,1621280700000.0,0.66918,0.67213,0.66875,0.67101
13400,1621281000000.0,0.6711,0.67627,0.67087,0.67625
13401,1621281300000.0,0.67626,0.67652,0.67263,0.67522
13402,1621281600000.0,0.67522,0.67575,0.67285,0.67507
13403,1621281900000.0,0.67469,0.67592,0.673,0.67415
13404,1621282200000.0,0.67413,0.67518,0.6679,0.66864
13405,1621282500000.0,0.66842,0.67075,0.66701,0.66831
13406,1621282800000.0,0.66827,0.67123,0.66335,0.67103
13407,1621283100000.0,0.67121,0.6745,0.67015,0.67382
13408,1621283400000.0,0.67395,0.67836,0.67253,0.67709
13409,1621283700000.0,0.67777,0.68279,0.67551,0.67963
13410,1621284000000.0,0.67928,0.68156,0.67744,0.67892
13411,1621284300000.0,0.67892,0.6822,0.67888,0.68002
13412,1621284600000.0,0.6799,0.68,0.67603,0.67693
13413,1621284900000.0,0.67691,0.67845,0.67529,0.67612
13414,1621285200000.0,0.67606,0.67637,0.66847,0.66898
13415,1621285500000.0,0.66935,0.67226,0.66783,0.66988
13416,1621285800000.0,0.66951,0.6708,0.66512,0.66678
13417,1621286100000.0,0.66678,0.67,0.6663,0.66793
13418,1621286400000.0,0.6677,0.66974,0.66728,0.66818
13419,1621286700000.0,0.66818,0.66949,0.66671,0.66689
13420,1621287000000.0,0.667,0.66725,0.6652,0.66544
13421,1621287300000.0,0.66538,0.66599,0.65433,0.65593
13422,1621287600000.0,0.65587,0.65746,0.6546,0.65513
13423,1621287900000.0,0.65499,0.6551,0.64872,0.64998
13424,1621288200000.0,0.65016,0.65436,0.64862,0.64878
13425,1621288500000.0,0.64869,0.6533,0.64654,0.64984
13426,1621288800000.0,0.64973,0.65694,0.6496,0.6548
13427,1621289100000.0,0.6547,0.663,0.65424,0.6615
13428,1621289400000.0,0.66198,0.664,0.65988,0.66084
13429,1621289700000.0,0.66127,0.66137,0.65546,0.65566
13430,1621290000000.0,0.65569,0.6566,0.65254,0.65312
13431,1621290300000.0,0.65312,0.65786,0.64985,0.65025
13432,1621290600000.0,0.65033,0.6543,0.63808,0.63977
13433,1621290900000.0,0.63967,0.64142,0.62622,0.63
13434,1621291200000.0,0.63,0.63413,0.62737,0.62926
13435,1621291500000.0,0.62926,0.6344,0.62589,0.62725
13436,1621291800000.0,0.6268,0.63371,0.62568,0.63323
13437,1621292100000.0,0.63321,0.6369,0.62931,0.6344
13438,1621292400000.0,0.63442,0.64401,0.63088,0.64294
13439,1621292700000.0,0.64292,0.64353,0.6363,0.63717
13440,1621293000000.0,0.63642,0.63919,0.63035,0.63652
13441,1621293300000.0,0.63651,0.6426,0.63391,0.64157
13442,1621293600000.0,0.64209,0.64575,0.63955,0.64446
13443,1621293900000.0,0.64487,0.64963,0.64394,0.64584
13444,1621294200000.0,0.64474,0.65256,0.64211,0.65034
13445,1621294500000.0,0.65101,0.65282,0.6476,0.64777
13446,1621294800000.0,0.6475,0.6493,0.64288,0.64724
13447,1621295100000.0,0.64732,0.65029,0.6451,0.64794
13448,1621295400000.0,0.64794,0.64815,0.64145,0.64611
13449,1621295700000.0,0.64611,0.64748,0.64183,0.64323
13450,1621296000000.0,0.64306,0.64648,0.62999,0.64042
13451,1621296300000.0,0.64043,0.65309,0.64025,0.65245
13452,1621296600000.0,0.65309,0.65409,0.64656,0.64896
13453,1621296900000.0,0.64904,0.65298,0.64762,0.652
13454,1621297200000.0,0.65176,0.65278,0.64855,0.65212
13455,1621297500000.0,0.65194,0.6547,0.6505,0.65314
13456,1621297800000.0,0.65324,0.65514,0.65018,0.6516
